origin,title,link,pubDate,description
Fintech News | TechCrunch,"India weighs more penalties on Paytm, including revoking payments bank license",https://techcrunch.com/2024/01/31/indias-central-bank-discusses-more-penalties-on-paytm-payments-bank-including-revoking-license/,"Thu, 01 Feb 2024 05:51:36 +0000","<p>The Reserve Bank of India (RBI) is discussing more penalties on Paytm Payments Bank and may reach a decision within days, two sources familiar with the matter told TechCrunch, as troubles mount for the Indian financial services firm that serves more than 330 million customers. The central bank has internally discussed revoking the payments bank [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,Paytm to terminate business with Paytm Payments Bank after central bank’s clampdown,https://techcrunch.com/2024/01/31/paytm-to-terminate-business-with-paytm-payments-bank-after-central-bank-clampdown/,"Thu, 01 Feb 2024 01:59:41 +0000","<p>Paytm said Thursday that it will cease work with its associate Paytm Payments Bank and accelerate plans to partner with other banks, after India&#8217;s central bank barred Paytm Payments Bank from conducting nearly all of its business activities due to supervisory concerns. The Noida-based financial services firm said it expects its loan distribution, insurance distribution [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,Metronome’s usage-based billing software finds hit in AI as the startup raises $43M in fresh capital,https://techcrunch.com/2024/01/31/metronomes-usage-based-billing-software-finds-hit-in-ai-raises-43m-in-fresh-capital/,"Wed, 31 Jan 2024 17:30:42 +0000","<p>Metronome, a startup that helps software companies offer usage-based billing, has raised $43 million in a Series B funding round led by NEA. Existing backers Andreessen Horowitz and General Catalyst also participated in the financing, which brings its total amount raised to over $78 million since its 2019 inception.  Founded by Dropbox alums Kevin Liu [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,Finvest app will have you invested in US Treasury Bills in minutes,https://techcrunch.com/2024/01/31/finvest-app-treasury-bills-fintech/,"Wed, 31 Jan 2024 16:00:26 +0000","<p>Finvest is out to make the purchase, management and selling of U.S. Treasury Bills seamless, while also offering a high-yield cash management account with a 4.4% yield.</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,"Despite glimmers of profit, most African neobanks remain in the red",https://techcrunch.com/2024/01/31/despite-glimmers-of-profit-most-african-neobanks-remain-in-the-red/,"Wed, 31 Jan 2024 12:55:56 +0000","<p>It was only just over a year ago that McKinsey described Africa’s financial technology landscape as a “hotbed for investment.” Fast-forward to today and startups on the continent are facing many of the same problems plaguing fintechs in more mature markets like the U.K. and the U.S.: Valuations are tanking, growth is flagging, revenue targets [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,India orders Paytm Payments Bank to halt business,https://techcrunch.com/2024/01/31/rbi-paytm-payments-bank-penalty/,"Wed, 31 Jan 2024 11:37:25 +0000","<p>The Reserve Bank of India (RBI) widened its curbs on Paytm&#8217;s Payments Bank, which processes transactions for financial services giant Paytm, barring it from offering many banking services, including accepting fresh deposits and credit transactions across its services. Wednesday&#8217;s move, which goes into effect February 29, follows the Indian central bank ordering Paytm Payments Bank [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,Block becomes the latest fintech to lay off workers,https://techcrunch.com/2024/01/30/block-becomes-the-latest-fintech-to-lay-off-workers/,"Tue, 30 Jan 2024 21:56:54 +0000","<p>Block, the fintech company whose subsidiaries include Square, Cash App and Afterpay, is laying off staff at a tumultuous time for tech industry workers. That&#8217;s according to an internal memo from CEO Jack Dorsey, obtained first by Business Insider, which states that &#8220;the growth of [Block] has far outpaced the growth of &#8230; business and [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,Fintech Ramp acquires another AI-powered startup,https://techcrunch.com/2024/01/30/fintech-ramp-acquires-another-ai-powered-startup/,"Tue, 30 Jan 2024 20:27:13 +0000","<p>Spend management startup Ramp has acquired AI-powered startup Venue as it expands its procurement offering. Venue was founded in 2022 by TK Kong, Young Kim, and Kevin Chan, and its aim was to “simplify how businesses review, approve, and manage the cost of vendors in use across their company.” The startup raised $1.2 million in [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
WSJ.com: WSJD,Keeping Teens Safe Online Has to Go Beyond Parental Controls. Here's What to Do.,https://www.wsj.com/articles/parental-controls-on-apps-dont-work-heres-a-better-way-cc4d49bc?mod=rss_Technology,"Sat, 10 Feb 2024 13:40:00 -0500","Social-media childproofing is rarely used. Instead, companies should protect kids—and parents should teach teens to defend themselves."
WSJ.com: WSJD,Apple's New Face Computer Is for Work,https://www.wsj.com/articles/apples-new-face-computer-is-for-work-788e2750?mod=rss_Technology,"Fri, 09 Feb 2024 21:00:00 -0500",The killer apps for Apple’s new Vision Pro will be the same ones we already use every day.
WSJ.com: WSJD,Elon Musk's Neuralink Files to Incorporate in Nevada,https://www.wsj.com/articles/musks-neuralink-files-to-incorporate-in-nevada-df29a5cc?mod=rss_Technology,"Fri, 09 Feb 2024 17:44:00 -0500",The latest move from Delaware comes after his multibillion-dollar pay package from Tesla was struck down.
